Wall time,Step,Value
1690858777.027049,680869,171.17080688476562
1690858891.871806,682898,170.42459106445312
1690859132.0595229,686862,158.142333984375
1690859698.35638,697003,71.39313507080078
1690859763.817749,698251,68.85932922363281
1690859889.213465,700418,37.30748748779297
1690860064.1940532,703792,63.8162727355957
1690860457.183501,710950,79.48345947265625
1690860533.7573876,712451,78.1912612915039
1690860647.2899153,714291,79.50240325927734
1690860808.1407487,717186,71.5579833984375
1690860876.1323295,718476,70.2153091430664
1690861234.237343,725130,135.2803192138672
1690861328.5335507,727041,164.33602905273438
1690861336.034581,727042,163.31137084960938
1690861384.7709136,728042,187.04005432128906
1690861449.3683627,729542,198.5334930419922
1690861671.270069,733746,207.62191772460938
1690861709.3566651,734491,201.8181610107422
1690861814.060191,736431,197.0596466064453
1690862142.168102,742469,214.5442352294922
1690862433.0111985,747882,254.81886291503906
1690862602.461394,751215,276.7939147949219
1690862799.9970877,754458,252.87557983398438
1690863264.3047516,762988,208.53335571289062
1690863404.5176873,765433,210.18704223632812
1690864026.760476,776395,232.5004425048828
1690864036.851551,776641,220.97232055664062
1690864072.3707666,777142,224.48779296875
1690864803.6079068,789414,202.04095458984375
1690864926.3877304,791251,207.20408630371094
1690865081.6603734,794218,215.8946533203125
1690865119.7791686,794719,224.77651977539062
1690865218.3181932,797050,226.652587890625
1690865645.5783362,804707,221.76556396484375
1690865653.05984,804708,221.76556396484375
1690865838.5255919,808177,163.4702606201172
1690865872.2433028,808634,167.78302001953125
1690865971.8951902,810635,162.6421356201172
1690866232.6550477,816059,151.91543579101562
1690866336.4953303,818169,129.8346710205078
1690866468.49725,820396,127.74174499511719
1690866718.416338,824714,160.7687530517578
1690866781.0786903,825810,153.13461303710938
1690866812.1496797,826207,147.40879821777344
1690867250.6352963,834394,108.64510345458984
1690867660.1285534,842246,81.29462432861328
1690867756.354319,843798,81.73710632324219
1690868064.1360831,849976,151.02879333496094
1690868164.049185,851683,146.28903198242188
1690868616.2140002,859518,167.0845184326172
1690869050.7892706,868337,184.9248504638672
1690869154.8751547,870257,184.32470703125
1690869262.3804066,872257,184.6376190185547
1690869476.1512663,876054,206.0420379638672
1690869611.1175506,878660,201.14353942871094
1690869852.5020165,882646,162.97512817382812
1690870128.666538,887895,167.58392333984375
1690870358.4452062,891925,143.9921875
1690870918.0892806,901708,131.14691162109375
1690870925.560247,901709,128.6128387451172
1690870952.6681864,902209,134.50503540039062
